musicId,frameTime,Arousal(mean),Valence(mean)
1,15.5,0.4376625,0.5599749999999999
1,16.0,0.437775,0.5606499999999999
1,16.5,0.4431250000000001,0.5598999999999998
1,17.0,0.4428875,0.5602124999999999
1,17.5,0.4445625,0.5633374999999998
1,18.0,0.4516625,0.5691124999999999
1,18.5,0.452,0.5726624999999999
1,19.0,0.450775,0.5747749999999999
1,19.5,0.4495375,0.5828874999999999
1,20.0,0.428675,0.5892249999999999
1,20.5,0.43700000000000006,0.5954249999999999
1,21.0,0.4360125,0.5992124999999999
1,21.5,0.438125,0.6029999999999999
1,22.0,0.4356625,0.6048999999999999
1,22.5,0.4355625,0.6066624999999999
1,23.0,0.4357875,0.6045499999999999
1,23.5,0.4353375,0.5972249999999999
1,24.0,0.4395625,0.5945374999999999
1,24.5,0.4407749999999999,0.596325
1,25.0,0.4317749999999999,0.5936625
1,25.5,0.427675,0.5956625
1,26.0,0.419225,0.5941124999999999
1,26.5,0.4166625,0.5939874999999999
1,27.0,0.418675,0.5906624999999999
1,27.5,0.4136874999999999,0.5907749999999999
1,28.0,0.4086625,0.5963375
1,28.5,0.4147874999999999,0.5976625
1,29.0,0.4138875,0.5955375
1,29.5,0.4173375,0.5945625
1,30.0,0.4132375,0.5967874999999999
1,30.5,0.4102125,0.5933375
1,31.0,0.4132375,0.5860125
1,31.5,0.4120125,0.581
1,32.0,0.41655,0.58145
4,15.5,0.2923250000000001,0.3297875
4,16.0,0.29255,0.33801249999999994
4,16.5,0.2893125,0.33790000000000003
4,17.0,0.29200000000000004,0.333225
4,17.5,0.320775,0.33377500000000004
4,18.0,0.31677500000000003,0.3213375
4,18.5,0.3123250000000001,0.295225
4,19.0,0.31545,0.2875375000000001
4,19.5,0.2868875,0.28555
4,20.0,0.294775,0.26377500000000004
4,20.5,0.30631250000000004,0.266875
4,21.0,0.3029875,0.28055
4,21.5,0.28976250000000003,0.28097500000000003
4,22.0,0.2821125000000001,0.27887500000000004
4,22.5,0.28232500000000005,0.2848875
4,23.0,0.29255,0.2830875
4,23.5,0.29533750000000003,0.2915375
4,24.0,0.29532499999999995,0.2952125
4,24.5,0.2944375,0.289325
4,25.0,0.2803375,0.2945375
4,25.5,0.2789875,0.2807875
4,26.0,0.2799875,0.289125
4,26.5,0.28365,0.279775
4,27.0,0.276425,0.27566250000000003
4,27.5,0.2784375,0.2804375
4,28.0,0.28721250000000004,0.2733375
5,15.5,0.2329,0.29231250000000003
5,16.0,0.22956250000000006,0.283875
5,16.5,0.22420000000000004,0.27286249999999995
5,17.0,0.22733750000000005,0.2787625
5,17.5,0.21746250000000006,0.2852125
5,18.0,0.20155,0.269875
5,18.5,0.20533750000000006,0.2642125
5,19.0,0.206325,0.2745375
5,19.5,0.19945,0.2722125
5,20.0,0.19577500000000006,0.2626625
5,20.5,0.20455,0.2722375
5,21.0,0.20145000000000005,0.27565
5,21.5,0.2071125,0.26298750000000004
5,22.0,0.2019875,0.26987500000000003
5,22.5,0.214675,0.2797625000000001
5,23.0,0.201675,0.2732125000000001
5,23.5,0.199225,0.27399999999999997
5,24.0,0.2103375,0.2791
5,24.5,0.208775,0.2817875000000001
5,25.0,0.19498750000000006,0.26365000000000005
5,25.5,0.207,0.2641000000000001
5,26.0,0.2124375,0.2662125
5,26.5,0.20501250000000004,0.2595500000000001
5,27.0,0.1987875,0.2526625
5,27.5,0.205775,0.2615500000000001
5,28.0,0.2099875,0.2516750000000001
5,28.5,0.2046625,0.244325
5,29.0,0.204225,0.2491
5,29.5,0.2094375,0.245325
5,30.0,0.2068875,0.23543750000000005
5,30.5,0.207775,0.23810000000000006
5,31.0,0.21100000000000002,0.25055
5,31.5,0.2074375,0.2481125
