1.327576166112827137e+06 3.401195543552031353e-01 1.704303714383793578e+00 4.328765869140625000e+01 2.230876467296965075e+03 2.098376676223258983e+03
3.021921111529616173e+05 3.126002711680900825e-01 1.596342340217814293e+00 1.103409729003906250e+02 2.242509816673215028e+03 2.159177524582965361e+03
4.936653046594524494e+04 3.855032367105111213e-01 1.944620023153317279e+00 2.579417724609375000e+02 2.620302034174305390e+03 2.380853204772042318e+03
3.894552865726098389e+04 3.807920730364119377e-01 1.922773371441873103e+00 2.783267517089843750e+02 2.603663041123831135e+03 2.383781395842109760e+03
3.636892343850866746e+04 3.737925416332495976e-01 2.086218799807912916e+00 2.747866210937500000e+02 2.593634712513702198e+03 2.372917547120966447e+03
3.940011345843590971e+04 3.708774069710955024e-01 1.924536916589233648e+00 2.753815002441406250e+02 2.547879066319234880e+03 2.350010308814323707e+03
2.570891255932568674e+04 3.609286445635740970e-01 2.273211995586178258e+00 3.098395996093750000e+02 2.524237259687800815e+03 2.359405631257396635e+03
4.393392386048365006e+04 3.264977240782005463e-01 2.420194831079398146e+00 3.309406738281250000e+02 2.434027672028945290e+03 2.317437256664932647e+03
3.341633456901902537e+04 3.712327395372602701e-01 2.201405239363001254e+00 2.561079101562500000e+02 2.489492626246940290e+03 2.301594494612136259e+03
6.814299135859704984e+04 3.320394461466630309e-01 1.487215345837998637e+00 3.045576782226562500e+02 2.492889402087263079e+03 2.289870319528497021e+03
8.694837727458252630e+04 3.039144234702498282e-01 1.371838393969194048e+00 3.162368164062500000e+02 2.446554640167217713e+03 2.175185501943848521e+03
